,t0,m0,mw,x,y,z,area,dt,te
90905,2.00165E+12,1.05E+22,8.615445,1725505.333,5421337.333,-28819.44333,40384590749,44.5871582,3.50127E+14
91022,2.0031E+12,1.87E+22,8.780752,2420454,6517770,-46045.73333,67997095369,77.2109375,6.38542E+14
91129,2.00489E+12,2.75E+22,8.893176,2660557.333,7138796.333,-36342.86,95067532699,119.8596191,1.21E+15
91241,2.00981E+12,1.30E+22,8.67635,2233593.667,6120910.667,-42989.66667,47819633404,63.71508789,4.78062E+14
91434,2.01267E+12,2.27E+22,8.837027,2619150.333,6964738.667,-37106.37,82756634064,95.07568359,9.4449E+14
91495,2.01459E+12,1.25E+22,8.664068,2520298,6724389,-46228.72667,49306084037,72.39331055,4.13077E+14
91699,2.01982E+12,1.07E+22,8.619336,2543847,6763807,-42021.83,46428020587,81.3371582,3.51709E+14
91720,2.02E+12,1.35E+22,8.686838,1821530,5407206.333,-14743.66333,44244770828,68.97412109,4.17346E+14
91853,2.02261E+12,1.37E+22,8.691594,2651649.333,7136600.667,-40282.48,44985960740,51.5793457,8.94911E+14
92005,2.025E+12,1.09E+22,8.623747,2504329.667,6671389.333,-41280.02,43668904134,53.50805664,3.2796E+14
92146,2.02784E+12,1.41E+22,8.699647,2598102.667,6923233.333,-43100.53333,55476523071,66.41870117,5.17722E+14
92174,2.02824E+12,1.03E+22,8.607895,2388480.333,6406969.333,-32316.24667,39160916984,43.75585938,3.85953E+14
92303,2.03149E+12,1.10E+22,8.627152,2646223.333,7104877,-38284.06667,42094332391,53.48071289,6.04818E+14
92388,2.03348E+12,5.19E+21,8.409886,1701445.333,5333485.667,-17165.31333,24541805490,38.28369141,1.61033E+14
92454,2.03437E+12,1.34E+22,8.683946,2512418.667,6695128.333,-43048.94,52739495015,76.61987305,4.30523E+14
92570,2.03706E+12,1.37E+22,8.691095,2590292.667,6887776.333,-40953.94333,49710202579,53.33129883,5.20389E+14
92707,2.04042E+12,9.91E+21,8.597519,2656905.333,7116675.333,-34519.6,35119850138,42.30224609,6.32066E+14
92718,2.04058E+12,1.16E+22,8.644038,2007559.333,5674949,-15574.74667,38513275486,54.68481445,3.80131E+14
92738,2.04087E+12,4.42E+21,8.36363,1883971.667,5503369.333,-14787.52333,19979929050,51.27026367,1.17495E+14
92804,2.04169E+12,2.96E+21,8.247065,2528942.333,6726113.333,-41552.36,17016784357,41.20605469,8.2348E+13
92919,2.04388E+12,9.17E+21,8.575019,2492079.333,6644138.333,-41161.48,40031252544,65.46826172,2.76479E+14
92949,2.04428E+12,2.70E+21,8.220586,2625355,7031419.333,-42559.58667,14391806648,33.04516602,7.31632E+13
92951,2.04428E+12,8.37E+21,8.548361,2632680,6967602.333,-30181.54333,37208922628,54.05932617,2.86255E+14
93007,2.04569E+12,1.87E+22,8.781913,2264939,6183264,-42518.23667,60850915385,74.33032227,6.55248E+14
93113,2.04849E+12,2.07E+21,8.143939,1809073.667,5392778.667,-14443.27667,10445542803,30.59130859,6.02931E+13
93128,2.04869E+12,1.22E+22,8.657843,2629502.333,7097397.667,-46444.82333,44346561781,39.05419922,6.61727E+14
93207,2.05011E+12,8.22E+21,8.543291,2368120,6378050,-36916.6,36154742020,45.75585938,2.94803E+14
93316,2.05181E+12,1.72E+22,8.756491,2539713,6759894,-43524.39333,65967662305,70.82177734,5.90291E+14
93454,2.05627E+12,1.26E+22,8.667587,2620723.667,7017033,-43629.56,51142125958,69.62353516,6.10985E+14
93513,2.05744E+12,7.54E+21,8.518182,2464517.667,6544960,-28405.67333,30169654553,32.50610352,2.63279E+14
93606,2.06002E+12,1.31E+22,8.679131,2588040,6882671,-41225.19,51912975229,74.93261719,4.6696E+14
93658,2.06154E+12,3.49E+22,8.961473,1648935.333,5337687.333,-27751.31333,94635074747,103.5263672,8.99461E+14
93858,2.06525E+12,1.56E+22,8.729372,2673669.333,7149089.333,-32699.98,53747713086,60.58666992,8.34714E+14
93917,2.06651E+12,9.68E+21,8.590616,2509173.333,6652893.667,-33263.38,41473296756,56.55444336,3.02798E+14
94035,2.06953E+12,1.03E+22,8.609818,2595684,6908053,-41673.45,40616821395,52.36767578,3.77607E+14
94188,2.07245E+12,1.56E+22,8.728342,2404981.333,6457935,-36020.29,57218779899,76.81201172,5.56331E+14
94190,2.07245E+12,1.78E+21,8.100268,2287335.667,6154965.333,-23767.46333,12457864374,26.92138672,3.43494E+13
94288,2.07395E+12,1.44E+22,8.705409,2653039.333,7015551.333,-26064.52667,51865084802,63.51489258,7.14357E+14
94381,2.07636E+12,1.25E+22,8.664695,2487972,6635018,-41067.66333,44956020118,43.24169922,4.32904E+14
94476,2.07845E+12,8.34E+21,8.547384,2610542.333,6909828.667,-33047.57,33041982182,45.09350586,3.13037E+14
94502,2.07881E+12,2.72E+21,8.222661,1751641,5429484,-24555.85,14387930005,35.70581055,8.70873E+13
94506,2.07887E+12,1.83E+21,8.107525,1825067,5493470.667,-20930.48333,9825525414,22.91625977,3.06871E+13
94584,2.08052E+12,2.53E+21,8.201943,2210156.333,6076448.333,-43153.45333,14072896193,34.23657227,5.59532E+13
94650,2.08163E+12,1.21E+22,8.654771,2701943.333,7228429.667,-38871.93,45565464997,83.8046875,5.86619E+14
94747,2.08346E+12,1.55E+21,8.061105,2432431,6477771.333,-27345.43667,10104687067,38.69360352,3.18859E+13
94781,2.08389E+12,4.56E+21,8.372708,2086459,5854042.333,-30047.61333,18401326446,44.00219727,1.41667E+14
95023,2.08707E+12,2.11E+22,8.815574,2637547.333,6946875.667,-25246.27667,75540317310,106.3791504,7.13619E+14
95092,2.08807E+12,2.39E+21,8.185978,1672516,5331394.667,-21146.13,13696623057,38.16552734,7.46508E+13
95214,2.09037E+12,1.48E+22,8.713229,2657908,7097637.667,-31484.39333,48305117728,46.49609375,8.83949E+14
95246,2.09132E+12,3.71E+21,8.313082,1728329.667,5412026.667,-26376.60667,18109941701,40.24829102,9.29018E+13
95249,2.09132E+12,2.62E+21,8.21264,1865215.333,5501945.333,-16617.27,14634284522,30.50708008,4.23918E+13
95373,2.09365E+12,1.17E+22,8.645023,2449528.333,6424085,-14869.75,43404303937,67.015625,4.47021E+14
95452,2.09486E+12,1.68E+22,8.7508,2605351.333,6929171.667,-39481.63667,67307569139,106.7028809,5.76005E+14
95496,2.09641E+12,1.35E+21,8.019956,2470268,6587300.667,-37438.96333,8535356247,26.68432617,2.96855E+13
95557,2.09834E+12,9.92E+21,8.597657,2654277.667,7077464.667,-31419.26333,39401340985,45.89868164,4.35531E+14
95704,2.10181E+12,2.06E+22,8.809826,2178986,5983836,-33189.89,67108082349,74.45288086,7.14496E+14
95731,2.10233E+12,1.89E+22,8.783742,2590634.667,6848238,-32818.58,79004704241,101.1240234,5.79178E+14
95751,2.10286E+12,5.65E+21,8.434925,1936944.667,5637762.667,-22476.85333,25747975552,35.09472656,1.73773E+14
95786,2.10388E+12,4.51E+21,8.369523,2655722.333,7140417.333,-39035.53333,24441785629,77.63134766,2.2357E+14
95867,2.10651E+12,5.54E+21,8.429092,2627797.333,7087385,-46523.06333,24558537591,45.92431641,1.83816E+14
95918,2.10744E+12,1.59E+22,8.734146,1731552,5402446.333,-24122.01,54736207439,62.41210938,4.72687E+14
96039,2.10975E+12,1.62E+22,8.740006,2391686,6437441,-38081.33667,66020277469,86.90234375,4.99386E+14
96068,2.1108E+12,1.20E+22,8.651701,2599676,6947489,-46603.25667,44592989372,52.16259766,4.47529E+14
96117,2.11266E+12,1.03E+22,8.607652,2705620.333,7176059,-27958.61667,37618159865,50.88061523,6.39502E+14
96119,2.11296E+12,2.27E+21,8.170233,2343552.667,6328515,-38676.01333,12234951043,39.25366211,5.22169E+13
96296,2.11747E+12,1.64E+22,8.743698,2625355,7031419.333,-42559.58667,70172667531,94.83984375,5.72494E+14
96297,2.11747E+12,2.03E+21,8.137862,2533778.333,6646934.667,-21510.94,14119312859,28.80859375,4.16411E+13
96513,2.12242E+12,1.31E+22,8.678193,2642799.667,7100405.667,-39532.92,43028590627,64.94213867,8.57733E+14
96533,2.12272E+12,1.50E+22,8.716568,2466187,6589462.667,-40866.97667,61514703505,70.53442383,5.10403E+14
96606,2.12499E+12,2.06E+21,8.142865,1775225.667,5391019.333,-16721.77,11064863481,25.46240234,7.67228E+13
96616,2.12508E+12,8.68E+21,8.559011,2650328,6970261,-22718.99667,36861524758,61.44921875,2.98435E+14
96716,2.12771E+12,4.29E+21,8.35527,2520693.333,6707728.667,-41441.22667,23858141037,52.58349609,1.56474E+14
96956,2.13157E+12,1.71E+22,8.755961,2313970,6225790,-28167.3,62737258036,81.94140625,5.88688E+14
97032,2.13238E+12,6.25E+21,8.463762,2475465,6613168.667,-42512.99667,30406991399,51.78881836,1.65733E+14
97065,2.13274E+12,2.50E+22,8.865185,2697846,7244385.333,-42016.39,83539159147,96.19213867,1.21E+15
97113,2.135E+12,1.17E+22,8.645074,1892914.333,5516568,-14660.09,45156436239,77.2109375,3.52122E+14
97198,2.13761E+12,8.54E+21,8.554144,2545411.667,6747140.667,-37201.41333,36680085266,42.83813477,3.04182E+14
97349,2.14081E+12,1.29E+22,8.674428,2414364.333,6475741.667,-35883.30333,48321518229,51.37084961,4.54786E+14
97374,2.14152E+12,2.17E+22,8.824405,2658412.333,7154872,-40615.98333,72784670144,77.21386719,1.05E+15
97716,2.14908E+12,3.11E+22,8.928114,2564453,6820391.667,-42052.81667,1.0781E+11,131.3256836,1.17E+15
