,t0,m0,mw,x,y,z,area,dt,te
107234,2.00169E+12,4.65E+21,8.378383,1867428.667,5369841,-4658.332333,18747644309,42.78588867,1.6624E+14
107243,2.00185E+12,2.33E+22,8.844476,2080093.667,5730922.667,-10901.49333,61747167450,73.94726563,6.78622E+14
107327,2.0042E+12,1.22E+22,8.658527,2432809.333,6383102.333,-14506.01,49380127194,75.76977539,4.22156E+14
107520,2.00788E+12,2.72E+22,8.890045,2629069,7051115.667,-42288.38333,93735494215,94.76538086,1.16E+15
107567,2.0095E+12,1.27E+22,8.668799,1988517.667,5440938.333,-5485.168333,39542616188,66.83544922,3.03022E+14
107717,2.01329E+12,1.40E+21,8.031274,2658412.333,7154872,-40615.98333,9935623679,23.39819336,7.23691E+13
107791,2.01418E+12,1.01E+22,8.603321,2508409,6680572.667,-41287.63667,43610606582,65.51269531,3.1344E+14
107932,2.01591E+12,2.40E+22,8.853542,2625695,7046679,-43858.98667,84817735504,81.65405273,1.04E+15
107945,2.01601E+12,1.58E+21,8.06659,1735272,5421202,-26539.77,9408524365,25.94360352,2.66557E+13
108082,2.01955E+12,2.22E+22,8.830487,2296057,6223571,-36604.97,74772255852,65.41601563,8.103E+14
108214,2.02152E+12,1.36E+21,8.022315,2654994,7145971.667,-40504.55333,9416944638,22.06835938,7.03413E+13
108428,2.02423E+12,3.23E+21,8.272887,1707914,5351617,-18756.81333,15966466185,29.71191406,1.05594E+14
108435,2.02432E+12,3.71E+22,8.979363,2516466.667,6704243.667,-43003.32333,1.31529E+11,138.7963867,1.39E+15
108631,2.03044E+12,1.20E+22,8.651585,1759798.667,5385594.667,-17342.07333,41699827204,66.69458008,3.66368E+14
108818,2.03282E+12,2.85E+22,8.903279,2639949,6992888.667,-29582.02333,1.01271E+11,89.7355957,1.17E+15
108947,2.03622E+12,1.28E+22,8.671436,2492545,6610802.333,-31200.3,47197832999,66.28759766,4.44808E+14
109013,2.03783E+12,2.52E+21,8.200404,2023890,5732587.667,-20533.12,12150530429,37.55175781,5.36625E+13
109309,2.04165E+12,2.91E+22,8.909328,2625912.333,6921326.667,-27165.32,98381560087,95.18774414,1.27E+15
109634,2.04739E+12,9.81E+21,8.594506,2428411.667,6507994.333,-37416.56667,42154388427,70.31347656,2.95962E+14
109659,2.0478E+12,1.04E+22,8.610253,2661290,7174251.667,-43572.37333,48222164334,98.95922852,4.05682E+14
109663,2.04781E+12,4.26E+21,8.352818,1740815,5424105.667,-25860.75667,20847673601,55.52807617,1.21989E+14
109697,2.04819E+12,1.38E+22,8.693508,1825067,5493470.667,-20930.48333,46434746073,55.58105469,2.32402E+14
109787,2.0496E+12,8.81E+21,8.56329,2590754,6858094,-34598.18667,36270927262,43.62207031,3.0493E+14
109800,2.04996E+12,3.27E+22,8.943469,2264563,6160990.667,-36273.18333,1.10647E+11,110.8134766,1.08E+15
110036,2.05464E+12,1.60E+22,8.736922,2709675.333,7236621.667,-37335.10333,59228961759,87.078125,8.01514E+14
110138,2.05621E+12,1.00E+22,8.600492,1700201.333,5376242.667,-24798.53667,39740426557,74.57397461,3.28828E+14
110170,2.0565E+12,1.51E+22,8.719329,2553285,6683014.667,-20933.15,60899327285,73.57958984,4.88166E+14
110497,2.06292E+12,4.10E+21,8.341648,2405196.667,6463541.667,-37496.15,19538725550,37.13134766,1.29592E+14
110521,2.06312E+12,2.00E+22,8.801015,2603276.667,6894161,-34518.11667,71880946355,84.40087891,8.86067E+14
110622,2.06561E+12,1.02E+22,8.606026,2512793.667,6678575.667,-38160.46333,39598079890,50.90356445,3.4312E+14
110753,2.06903E+12,1.70E+22,8.754059,2023890,5732587.667,-20533.12,44861036150,50.67333984,5.39282E+14
110791,2.0695E+12,2.31E+21,8.175284,1941337.333,5439145,-8569.858333,11582424799,32.67651367,8.72958E+13
110819,2.06992E+12,1.10E+22,8.628887,2557098.667,6806918.333,-43527.19667,49227476440,86.33789063,3.62199E+14
110915,2.07156E+12,1.46E+22,8.710535,1833315.667,5501048,-20971.03333,51189423912,69.86645508,3.56224E+14
111030,2.07366E+12,1.25E+22,8.665484,2700412.333,7233631.667,-40021.84667,41957970917,52.49780273,8.87768E+14
111081,2.07446E+12,1.63E+22,8.742011,2441760.333,6478641,-23801.07,64408465632,104.8803711,5.18364E+14
111185,2.07739E+12,8.63E+21,8.557466,2602526.333,6958454,-46584.01,35030117166,46.36523438,2.95176E+14
111331,2.08026E+12,2.16E+22,8.822497,2389466.333,6396150.333,-29690.64667,76867766959,101.388916,7.534E+14
111543,2.08318E+12,1.38E+21,8.026962,2483871.667,6625973.333,-40951.33,9404961212,25.52392578,5.99565E+13
111590,2.08362E+12,1.16E+22,8.643681,2539713,6759894,-43524.39333,44133184542,66.33105469,4.39189E+14
111637,2.08434E+12,1.99E+22,8.79863,2651649.333,7136600.667,-40282.48,61276004274,58.32592773,1.14E+15
111728,2.0868E+12,5.48E+21,8.425831,1655061,5369893.333,-34787.73667,26141608914,53.49047852,1.548E+14
111922,2.08937E+12,1.83E+21,8.108118,2470731.667,6488637.667,-16881.72333,9864130170,24.69335938,5.47842E+13
111936,2.0895E+12,5.94E+21,8.448984,2443143.333,6550732.333,-42730.16667,27400672168,45.1953125,1.86859E+14
112149,2.0925E+12,2.81E+22,8.899032,2645988.667,7143707.333,-44375.85333,95825931375,97.66943359,1.24E+15
112158,2.09273E+12,1.42E+21,8.034835,1878232,5532198.333,-18015.83,8767189518,35.69335938,1.86782E+13
112272,2.09619E+12,1.06E+22,8.615821,1894825.667,5437060.667,-10852.69333,35839799563,56.13598633,3.65652E+14
112412,2.09825E+12,1.43E+22,8.703513,2397407,6408301.667,-28205.07667,57818752840,87.95141602,4.61147E+14
112573,2.10071E+12,2.38E+22,8.851447,2554367.333,6792014.667,-41998.65,85502005953,104.9736328,9.99567E+14
113103,2.10854E+12,3.55E+22,8.966782,2512162.333,6706175.667,-46368.11,1.29294E+11,154.746582,1.32E+15
113305,2.11284E+12,1.38E+22,8.694236,2326363,6308932.333,-43424.89,48513557778,56.31933594,5.39453E+14
113401,2.11387E+12,9.75E+21,8.592624,1735272,5421202,-26539.77,36861948903,66.11450195,3.22953E+14
113424,2.11435E+12,2.21E+22,8.830095,1832499.667,5510832,-23155.24,61784279784,79.51879883,5.10535E+14
113576,2.11644E+12,1.58E+22,8.731828,2583862.333,6874442,-41892.43333,66203453298,129.449707,4.96737E+14
113634,2.11754E+12,3.09E+22,8.92624,2228807.333,6106405.333,-41237.80333,91840448700,110.6228027,1.09E+15
113642,2.11757E+12,1.60E+22,8.735213,2653039.333,7015551.333,-26064.52667,52327725750,55.17919922,8.3742E+14
113945,2.12418E+12,1.50E+21,8.050028,2450976.333,6462231.333,-18433.9,8600343530,28.90136719,3.9142E+13
113966,2.12441E+12,3.34E+21,8.282212,2483911.667,6420152,-10866.20333,16851432419,36.03295898,1.06694E+14
114023,2.12502E+12,3.26E+22,8.942459,2610542.333,6909828.667,-33047.57,1.20511E+11,97.76416016,1.27E+15
114139,2.12979E+12,2.84E+21,8.235549,1733931.333,5415020.333,-25745.58667,13595939780,23.73828125,7.63767E+13
114302,2.13193E+12,1.84E+21,8.11001,1941593,5409564.333,-5660.559667,9301159926,21.20068359,7.22034E+13
114501,2.13392E+12,4.27E+22,9.020176,2611602.667,6859959,-24849.09,1.51537E+11,171.0178223,1.60E+15
114906,2.14136E+12,1.95E+22,8.793239,1846535.333,5478737,-15776.64,62803473314,79.0390625,5.402E+14
114957,2.142E+12,2.22E+22,8.830742,2641478,7120206.333,-42686.33333,79618375981,109.8532715,9.94895E+14
115099,2.14455E+12,1.45E+22,8.708362,2516466.667,6704243.667,-43003.32333,49959743455,54.70800781,5.29929E+14
115457,2.15026E+12,1.58E+22,8.732489,2633553,7034900,-38091.07667,55746878744,54.00708008,8.08414E+14
115462,2.15028E+12,6.62E+21,8.480381,2587913.333,6813344,-28186.77333,30473469473,56.0390625,2.39866E+14
115469,2.1503E+12,1.99E+22,8.798886,2309288.667,6272978.333,-43325.64667,69622532855,93.10791016,6.95038E+14
115777,2.15517E+12,1.75E+22,8.761601,2504329.667,6671389.333,-41280.02,63137008648,66.86376953,5.78007E+14
115969,2.15838E+12,4.43E+21,8.364305,2045616,5718966.333,-14566.17333,18210396549,36.18115234,1.1615E+14
116020,2.15893E+12,2.57E+22,8.872847,2656905.333,7116675.333,-34519.6,84400255674,83.36352539,1.26E+15
116087,2.16112E+12,1.56E+21,8.061914,1933380.333,5415093.667,-7112.792,8104303195,35.42749023,5.98034E+13
116088,2.16118E+12,2.93E+22,8.910776,1735272,5421202,-26539.77,75873483917,114.1635742,7.5853E+14
116503,2.16688E+12,2.05E+22,8.807783,2515220,6622895.333,-23636.24333,76645889079,91.30859375,6.75326E+14
116566,2.16755E+12,1.54E+22,8.725796,2668746.667,7109327,-27682.42667,55370988850,54.30883789,7.14155E+14
116978,2.17443E+12,1.26E+22,8.666302,2620337,6930763.667,-31194.69667,50804052265,55.38183594,4.54184E+14
117052,2.17528E+12,9.14E+21,8.574042,1645937.667,5320724,-24802.41,37000610815,53.52978516,3.02463E+14
117095,2.17576E+12,9.36E+21,8.58078,2636102.667,7091083.333,-42236.4,34071224127,57.11743164,6.01384E+14
117136,2.1765E+12,1.26E+22,8.666467,2504238.333,6676957,-42960.14,51262227264,82.59155273,4.03463E+14
117155,2.17686E+12,1.80E+22,8.769666,2356750.333,6333516,-32817.34,66456684623,109.0219727,6.06498E+14
117208,2.17929E+12,2.49E+21,8.196937,2095935.667,5853478.333,-26776.92667,12984788576,46.69848633,8.5242E+13
117474,2.18319E+12,2.59E+22,8.875572,2605678.667,6899391.667,-34049.98333,88240446727,74.01489258,1.12E+15
117583,2.1857E+12,1.52E+22,8.721894,1981036.667,5434788.333,-5397.999667,43854604391,68.29370117,4.49707E+14
117776,2.18877E+12,1.51E+22,8.718654,2409874.667,6472445.667,-37444.5,58087272174,74.99121094,4.92176E+14
117874,2.19051E+12,5.22E+21,8.411521,2059211.333,5663476.667,-8401.767,18994982100,40.91723633,1.47756E+14
117925,2.1912E+12,1.47E+22,8.712324,2629217.333,7066661.333,-43710.54333,52253431812,49.97509766,7.73546E+14
117948,2.1915E+12,7.24E+21,8.506669,2588040,6882671,-41225.19,29742022024,61.06274414,2.6124E+14
118256,2.19698E+12,1.65E+21,8.07811,2662033.667,7163230.667,-40825.00667,10964809940,32.8737793,7.88313E+13
118353,2.19839E+12,2.95E+22,8.913501,2457280,6577266,-42690.62333,1.08867E+11,149.9255371,9.89178E+14
118397,2.19912E+12,1.46E+22,8.710291,2208119,5908939.333,-10400.725,43996195245,64.60498047,5.95667E+14
118468,2.20131E+12,2.05E+21,8.141388,2694982,7234929,-41978.30333,12178276050,40.53222656,9.01717E+13
118477,2.20161E+12,1.32E+21,8.013205,1976993.333,5424049,-4285.213667,7158891985,26.15576172,5.6301E+13
118582,2.20355E+12,8.42E+21,8.550308,1745169,5420703,-24493.90333,32151610098,42.93408203,3.00369E+14
118600,2.20364E+12,1.61E+22,8.73812,2351448.333,6357908.333,-41692.14333,58378791151,68.83251953,6.03541E+14
118773,2.20649E+12,3.18E+22,8.934903,2591578.667,6919373.333,-46584.36,1.18927E+11,122.2182617,1.22E+15
118860,2.21064E+12,1.73E+21,8.092154,2209908.667,6070979.667,-41546.72,9574911677,22.72412109,7.36045E+13
118993,2.21275E+12,1.60E+22,8.735262,1901562.333,5524248.333,-14121.99,46618763255,60.99072266,4.18937E+14
119007,2.21289E+12,7.46E+21,8.515149,2671137.333,7199171,-44884.94667,35397174514,81.65917969,3.26797E+14
119114,2.21451E+12,2.02E+22,8.804261,2568334.333,6818428,-39303.99333,76989138743,68.65136719,6.86592E+14
119115,2.21451E+12,4.95E+21,8.396572,2442734.667,6545219.333,-40950.35667,23654081727,38.65820313,1.53809E+14
119388,2.22083E+12,1.58E+21,8.065502,1740815,5424105.667,-25860.75667,8859039918,18.99853516,2.57338E+13
119522,2.22218E+12,2.08E+22,8.811421,2583562,6862098.333,-39403.50667,72460199329,110.2373047,1.02E+15
119540,2.22242E+12,1.03E+22,8.609306,2536672,6745246.333,-41872.33,42563337686,66.28613281,3.25972E+14
119606,2.22344E+12,5.43E+21,8.422945,2080498.667,5712304,-8979.475667,23039912317,73.93652344,1.62082E+14
119863,2.22761E+12,2.23E+22,8.832562,2454374.667,6421770.667,-13909.09667,81842544647,120.8989258,7.603E+14
119873,2.22779E+12,6.84E+21,8.489929,1985752.667,5650271.333,-16485.27,22772408747,46.61376953,1.87632E+14
120052,2.23022E+12,3.39E+22,8.953481,2603123,6904029.333,-36327.38333,1.20555E+11,108.1191406,1.27E+15
120129,2.23368E+12,2.62E+22,8.878799,1863272.333,5380492.333,-7436.944333,74367696944,79.38232422,8.47783E+14
120240,2.2366E+12,7.09E+21,8.500616,2664718,7142368.667,-35182.78,32674702388,59.63916016,3.52053E+14
120334,2.23826E+12,1.69E+22,8.75191,2583571.333,6880887,-43516.26333,70328737154,93.12646484,5.28756E+14
120368,2.23936E+12,3.51E+21,8.296617,2446602.333,6537590.333,-35913.92667,18726257429,48.89648438,8.91914E+13
120428,2.24176E+12,8.50E+21,8.552883,2641040.667,7090219.667,-39431.16667,37507308735,60.18652344,3.56086E+14
120597,2.24485E+12,4.63E+21,8.377238,2387329,6444940.667,-42873.35333,21031468853,41.87646484,1.49741E+14
120622,2.24516E+12,6.32E+21,8.467272,2618295.667,6991639.667,-41761.13667,28116888835,47.69433594,2.18858E+14
120654,2.24545E+12,4.29E+21,8.354676,2065676.333,5708223,-10574.11533,17300344878,34.10253906,1.15009E+14
120667,2.24555E+12,1.15E+22,8.641515,2568334.333,6818428,-39303.99333,48343241524,100.5229492,3.55627E+14
120824,2.249E+12,1.14E+22,8.638318,2648262.333,7031942.667,-29982.24667,45123817612,58.42626953,5.87676E+14
121079,2.25317E+12,8.22E+21,8.543215,2326404,6303367.333,-41792.42667,35080308158,81.22412109,2.75311E+14
121118,2.25347E+12,2.66E+22,8.883204,2494269.667,6445437.333,-11066.69333,1.00086E+11,149.3188477,8.69083E+14
121169,2.25521E+12,5.34E+21,8.418128,1735272,5421202,-26539.77,22816167965,46.36767578,1.80835E+14
121171,2.25521E+12,3.82E+21,8.321086,1822210.667,5456810.333,-16576.2,20147154824,42.73193359,4.42925E+13
121232,2.25663E+12,1.55E+22,8.727083,2241670.333,6099633,-31921.89667,55577307162,109.4775391,4.68884E+14
121399,2.25928E+12,1.42E+22,8.700596,2675220.333,7191177.667,-41691.06667,43840557325,40.50927734,8.97226E+14
121543,2.26124E+12,1.95E+22,8.793731,2573924.333,6797763,-32258.47333,78168004844,109.1254883,6.44683E+14
121792,2.26653E+12,8.87E+21,8.565341,2359315.333,6381804,-43203.87,38572567283,48.01855469,2.88151E+14
121892,2.26802E+12,1.72E+22,8.757817,2644410,7094881.333,-38094.71,60749790888,60.30615234,8.79526E+14
122000,2.26952E+12,1.07E+22,8.620049,1647049.333,5326426.333,-25687.83667,41970283473,77.26953125,3.66141E+14
122039,2.27014E+12,1.54E+22,8.725515,2533001.333,6735911,-41705.40667,57134596491,75.36132813,5.37258E+14
122485,2.27806E+12,3.99E+22,9.000719,2437225.333,6509066,-32805.99,1.37038E+11,163.0341797,1.67E+15
122577,2.28078E+12,4.91E+22,9.060967,1845601.333,5505165,-19707.23667,1.06541E+11,92.80957031,1.51E+15
122811,2.28564E+12,1.39E+22,8.695321,2654277.667,7077464.667,-31419.26333,53576767994,53.83935547,6.24553E+14
122973,2.28761E+12,1.71E+22,8.754965,2388605.333,6297778.667,-15605.49333,59424669472,65.60400391,5.90962E+14
122989,2.28783E+12,2.21E+22,8.829277,2528763,6731884.333,-43154.46667,76735412497,74.81054688,7.84472E+14
123165,2.2929E+12,2.45E+21,8.193359,2595684,6908053,-41673.45,14103136352,42.70410156,5.73177E+13
123188,2.29318E+12,1.22E+22,8.65763,2653039.333,7015551.333,-26064.52667,45588115151,64.93701172,6.32564E+14
123379,2.29663E+12,1.99E+22,8.799516,2559384,6784968.333,-37489.29,77112884122,72.46386719,6.71376E+14
123573,2.30086E+12,4.90E+21,8.393737,2419076.667,6484773.667,-35766.7,21183796782,38.95166016,1.57122E+14
123608,2.30116E+12,8.35E+21,8.547661,2177078.667,6009269,-42090.37,33214098211,63.13134766,2.63578E+14
123638,2.30139E+12,1.78E+22,8.767127,1638962.667,5312850.667,-24937.62,59575129674,85.86035156,5.4374E+14
123692,2.30197E+12,1.21E+22,8.65618,2684110.333,7196476.333,-39468.30667,43888447294,53.15332031,6.34689E+14
123827,2.3044E+12,9.25E+21,8.577568,2615971.333,6954629.333,-37417.51333,39263878513,55.89404297,3.47473E+14
123833,2.30452E+12,5.73E+21,8.438971,2508269.667,6686031.333,-42957.79,27471848921,62.53173828,1.54839E+14
124002,2.30833E+12,1.23E+22,8.659638,2657150.667,7165263.333,-43502.58,49590774423,95.37548828,5.61323E+14
124234,2.31194E+12,2.37E+22,8.849799,2575631.667,6816980.667,-34865.23,84008635327,71.70410156,8.37928E+14
124302,2.31337E+12,1.62E+22,8.740188,2355614.667,6367199,-41681.24333,61173341103,89.77246094,5.51735E+14
124529,2.31762E+12,1.52E+22,8.72039,2741164,7177236.667,-19818.21667,52622016370,67.32568359,7.78454E+14
124629,2.31926E+12,3.35E+21,8.28331,1740815,5424105.667,-25860.75667,16251940581,43.75976563,1.04179E+14
124725,2.32078E+12,1.94E+22,8.792376,2520693.333,6707728.667,-41441.22667,75155216178,59.12060547,6.43822E+14
124907,2.32498E+12,2.10E+22,8.815219,1834738,5491314,-18972.96,69419205974,104.5053711,4.9582E+14
124924,2.32519E+12,1.33E+22,8.681898,2678529.667,7152520.667,-31409.75333,51700712999,68.85449219,5.78303E+14
125067,2.32839E+12,5.79E+21,8.441771,2415308,6498083.333,-42389.50333,26743924654,41.296875,1.86392E+14
125167,2.3298E+12,1.89E+22,8.784261,2520693.333,6707728.667,-41441.22667,67259806196,66.90673828,6.57799E+14
125354,2.33311E+12,1.55E+22,8.727006,2648838.667,7127749.333,-40114.30667,55951213161,51.45898438,7.69177E+14
125473,2.33553E+12,2.07E+22,8.810379,2043025,5676130,-10916.79,64762660441,100.5004883,5.53651E+14
125737,2.33885E+12,1.71E+21,8.089446,2479727.667,6616969.333,-40799.35667,11174376885,29.5,6.6627E+13
125770,2.33926E+12,1.42E+22,8.701143,2547387,6773098.333,-42022.7,54259435718,58.69287109,5.25572E+14
125917,2.34161E+12,1.20E+22,8.652182,2625695,7046679,-43858.98667,44781283673,78.24658203,6.00769E+14
125934,2.34211E+12,1.88E+22,8.78203,2464610.667,6511525.333,-21635.76667,68663886418,76.44482422,6.23798E+14
125936,2.34211E+12,1.64E+22,8.742942,2305379,6190935,-24126.52667,53854820662,70.96533203,6.09048E+14
126163,2.34714E+12,1.63E+22,8.741615,1790219,5393466.333,-15923.70333,47408387550,61.23632813,5.31548E+14
126195,2.34759E+12,1.83E+22,8.774697,2598139.667,6913302.333,-41143.26,65452884636,68.93310547,7.05314E+14
126264,2.34919E+12,8.83E+21,8.563829,2665742.667,7118895,-30567.61667,35310083178,52.94384766,4.35184E+14
126332,2.35124E+12,5.94E+21,8.448968,2470674.667,6598348.667,-40779.97,27146471507,44.80224609,1.87583E+14
126573,2.35528E+12,2.07E+22,8.810708,2646583.667,7119080.667,-39909.99667,79041145845,99.8984375,8.44771E+14
126653,2.35653E+12,4.89E+21,8.392676,2541241,6743455.333,-38711.07333,21951791552,40.42236328,1.42738E+14
126864,2.36052E+12,6.08E+21,8.456156,1671002,5350522,-25136.06,26205656871,36.30029297,1.86281E+14
127172,2.36351E+12,2.09E+22,8.812993,2423436.667,6482473.667,-32806.78333,75788506571,79.56494141,7.05706E+14
127230,2.36459E+12,2.22E+22,8.830954,2689594,7154181,-27756.52667,76711851732,97.53076172,1.03E+15
127413,2.36996E+12,3.93E+21,8.32958,2065583,5685207.333,-8777.602667,15984962479,40.03027344,1.06984E+14
127654,2.37268E+12,3.44E+22,8.95777,2563929,6825847.667,-43500.20333,1.22584E+11,106.293457,1.33E+15
127658,2.37285E+12,9.27E+21,8.57801,2326431.333,6292215,-38636.91667,36050474155,63.76171875,3.07783E+14
127713,2.37396E+12,2.62E+22,8.87928,1886154.333,5387991.333,-7189.609333,68137587571,77.18359375,8.56659E+14
127823,2.37786E+12,7.38E+21,8.512141,2229047.667,6111945.667,-42909.14667,28579343153,49.78613281,2.50285E+14
128049,2.38071E+12,2.99E+22,8.917042,2609774.333,6967310,-43310.55667,1.05935E+11,94.43798828,1.27E+15
128101,2.3826E+12,1.24E+22,8.662591,2375113,6412970,-41586.26,45747831080,51.97265625,4.30542E+14
128385,2.38847E+12,2.91E+22,8.908869,2533638.333,6718542.667,-36989.86,1.08495E+11,154.1069336,1.12E+15
128560,2.39325E+12,1.15E+22,8.641712,1656012,5350404,-28957.02667,44303149797,73.71777344,4.04137E+14
128752,2.39615E+12,1.21E+22,8.656349,2438355.333,6541954.667,-42683.57333,50159076035,52.57177734,4.00465E+14
128754,2.39615E+12,2.56E+22,8.872072,2530528.667,6681444.333,-29586.97333,97264822012,131.1953125,1.08E+15
128784,2.39714E+12,2.68E+21,8.219131,1825067,5493470.667,-20930.48333,13660660460,24.70703125,3.64938E+13
129089,2.40311E+12,1.46E+22,8.709053,2309288.667,6272978.333,-43325.64667,50554766532,57.56542969,5.21669E+14
129152,2.4037E+12,2.87E+22,8.905357,2595723,6898170.667,-39714.93333,1.0969E+11,104.2114258,1.04E+15
129225,2.40638E+12,3.30E+22,8.945354,2085771.667,5597759,-4171.592333,92830938091,116.2216797,1.07E+15
129288,2.40797E+12,2.89E+21,8.240336,1953674.667,5457799.667,-9042.748333,14337583942,39.10644531,1.13256E+14
129370,2.40963E+12,8.36E+21,8.547987,2447874,6559518,-42707.30333,33667571625,50.37207031,2.8252E+14
129392,2.41006E+12,4.72E+21,8.382597,2661175.667,7180097,-44913.99667,22404895264,41.14453125,2.68319E+14
129459,2.41112E+12,1.87E+22,8.78066,1731030.333,5424344,-28043.56,58633987811,79.29589844,4.28657E+14
129549,2.41233E+12,2.58E+22,8.874316,2572636.667,6820972,-37337.73333,88708473235,90.82128906,9.29494E+14
129903,2.41998E+12,2.84E+22,8.9024,2637809.667,7101224.333,-42269.74667,1.02618E+11,129.3486328,1.29E+15
130057,2.42243E+12,7.46E+21,8.515099,2483197,6540666,-20218.93667,35457889484,43.09912109,2.25915E+14
130101,2.42392E+12,7.63E+21,8.521553,1677920.667,5362955.333,-26322.53667,31969837518,57.41992188,2.36685E+14
130339,2.42752E+12,9.09E+21,8.572494,2351448.333,6357908.333,-41692.14333,35223425228,56.83837891,3.33391E+14
130393,2.42838E+12,3.18E+22,8.934997,2550890.667,6782580.333,-41957.71667,1.09511E+11,101.5913086,1.36E+15
130413,2.42869E+12,1.67E+21,8.082502,1944067,5404417.333,-4802.564,8506348678,26.95068359,6.98643E+13
130491,2.43134E+12,1.40E+21,8.030304,1825067,5493470.667,-20930.48333,8584201771,30.65478516,1.90187E+13
130609,2.43397E+12,7.24E+21,8.50644,2469014,6536884.667,-24627.47333,29901692399,39.16943359,2.33225E+14
130829,2.43677E+12,1.18E+22,8.647842,2196333,6050122,-43312.86667,43468828641,54.06445313,3.97861E+14
130883,2.43717E+12,3.23E+22,8.939462,2580113.667,6847265,-38380.41667,1.07882E+11,76.83837891,1.44E+15
130921,2.43891E+12,1.35E+22,8.686615,1984686,5430394,-4548.118667,42525719169,83.09765625,4.19969E+14
130934,2.43915E+12,3.36E+21,8.284421,2028594.667,5729196.667,-19008.89333,14650604247,35.55175781,8.84023E+13
131282,2.44509E+12,3.83E+22,8.988685,2457280,6577266,-42690.62333,1.44607E+11,152.0957031,1.30E+15
131520,2.45155E+12,4.42E+21,8.363721,2695659.667,7214537.667,-38759.46667,21212668041,45.05175781,2.64707E+14
131613,2.45287E+12,2.30E+22,8.840984,2635763.333,7060255.667,-39339.28333,84939614563,105.5639648,8.31652E+14
131817,2.45642E+12,7.32E+21,8.509641,2423285.667,6476762,-31383.95333,28283506001,38.90625,2.48991E+14
131874,2.45745E+12,1.02E+22,8.605103,1733931.333,5415020.333,-25745.58667,38820551857,76.10302734,2.99881E+14
